omega,integrand
9.649650e+00,-9.030101e-02
9.729730e+00,-1.101088e-01
9.809810e+00,-1.289144e-01
9.889890e+00,-1.466188e-01
9.969970e+00,-1.631310e-01
1.005005e+01,-1.783685e-01
1.013013e+01,-1.922577e-01
1.021021e+01,-2.047340e-01
1.029029e+01,-2.157423e-01
1.037037e+01,-2.252371e-01
1.045045e+01,-2.331826e-01
1.053053e+01,-2.395530e-01
1.061061e+01,-2.443322e-01
1.069069e+01,-2.475138e-01
1.077077e+01,-2.491015e-01
1.085085e+01,-2.491082e-01
1.093093e+01,-2.475563e-01
1.101101e+01,-2.444775e-01
1.109109e+01,-2.399120e-01
1.117117e+01,-2.339087e-01
1.125125e+01,-2.265244e-01
1.133133e+01,-2.178237e-01
1.141141e+01,-2.078782e-01
1.149149e+01,-1.967661e-01
1.157157e+01,-1.845718e-01
1.165165e+01,-1.713851e-01
1.173173e+01,-1.573007e-01
1.181181e+01,-1.424175e-01
1.189189e+01,-1.268380e-01
1.197197e+01,-1.106678e-01
1.205205e+01,-9.401465e-02
1.213213e+01,-7.698787e-02
1.221221e+01,-5.969776e-02
1.229229e+01,-4.225484e-02
1.237237e+01,-2.476922e-02
1.245245e+01,-7.349887e-03
1.253253e+01,9.895875e-03
1.261261e+01,2.686316e-02
1.269269e+01,4.345004e-02
1.277277e+01,5.955813e-02
1.285285e+01,7.509316e-02
1.293293e+01,8.996550e-02
1.301301e+01,1.040906e-01
1.309309e+01,1.173897e-01
1.317317e+01,1.297897e-01
1.325325e+01,1.412241e-01
1.333333e+01,1.516331e-01
1.341341e+01,1.609639e-01
1.349349e+01,1.691708e-01
1.357357e+01,1.762158e-01
1.365365e+01,1.820683e-01
1.373373e+01,1.867054e-01
1.381381e+01,1.901120e-01
1.389389e+01,1.922808e-01
1.397397e+01,1.932123e-01
1.405405e+01,1.929144e-01
1.413413e+01,1.914026e-01
1.421421e+01,1.887000e-01
1.429429e+01,1.848365e-01
1.437437e+01,1.798489e-01
1.445445e+01,1.737806e-01
1.453453e+01,1.666814e-01
1.461461e+01,1.586068e-01
1.469469e+01,1.496177e-01
1.477477e+01,1.397801e-01
1.485485e+01,1.291646e-01
1.493493e+01,1.178459e-01
1.501502e+01,1.059022e-01
1.509510e+01,9.341494e-02
1.517518e+01,8.046789e-02
1.525526e+01,6.714697e-02
1.533534e+01,5.353951e-02
1.541542e+01,3.973374e-02
1.549550e+01,2.581823e-02
1.557558e+01,1.188136e-02
1.565566e+01,-1.989239e-03
1.573574e+01,-1.570722e-02
1.581582e+01,-2.918803e-02
