theta,integrand
-1.424562e+00,-1.931329e-01
-1.418272e+00,-1.940175e-01
-1.411983e+00,-1.948414e-01
-1.405693e+00,-1.956032e-01
-1.399404e+00,-1.963011e-01
-1.393114e+00,-1.969337e-01
-1.386825e+00,-1.974995e-01
-1.380535e+00,-1.979969e-01
-1.374246e+00,-1.984244e-01
-1.367956e+00,-1.987805e-01
-1.361667e+00,-1.990637e-01
-1.355378e+00,-1.992724e-01
-1.349088e+00,-1.994052e-01
-1.342799e+00,-1.994607e-01
-1.336509e+00,-1.994373e-01
-1.330220e+00,-1.993336e-01
-1.323930e+00,-1.991482e-01
-1.317641e+00,-1.988797e-01
-1.311351e+00,-1.985266e-01
-1.305062e+00,-1.980877e-01
-1.298772e+00,-1.975614e-01
-1.292483e+00,-1.969465e-01
-1.286193e+00,-1.962416e-01
-1.279904e+00,-1.954455e-01
-1.273615e+00,-1.945568e-01
-1.267325e+00,-1.935743e-01
-1.261036e+00,-1.924968e-01
-1.254746e+00,-1.913229e-01
-1.248457e+00,-1.900515e-01
-1.242167e+00,-1.886815e-01
-1.235878e+00,-1.872117e-01
-1.229588e+00,-1.856410e-01
-1.223299e+00,-1.839682e-01
-1.217009e+00,-1.821923e-01
-1.210720e+00,-1.803124e-01
-1.204431e+00,-1.783273e-01
-1.198141e+00,-1.762361e-01
-1.191852e+00,-1.740378e-01
-1.185562e+00,-1.717315e-01
-1.179273e+00,-1.693164e-01
-1.172983e+00,-1.667916e-01
-1.166694e+00,-1.641563e-01
-1.160404e+00,-1.614096e-01
-1.154115e+00,-1.585509e-01
-1.147825e+00,-1.555794e-01
-1.141536e+00,-1.524945e-01
-1.135247e+00,-1.492954e-01
-1.128957e+00,-1.459817e-01
-1.122668e+00,-1.425527e-01
-1.116378e+00,-1.390079e-01
-1.110089e+00,-1.353468e-01
-1.103799e+00,-1.315690e-01
-1.097510e+00,-1.276740e-01
-1.091220e+00,-1.236615e-01
-1.084931e+00,-1.195312e-01
-1.078641e+00,-1.152827e-01
-1.072352e+00,-1.109159e-01
-1.066063e+00,-1.064305e-01
-1.059773e+00,-1.018263e-01
-1.053484e+00,-9.710324e-02
-1.047194e+00,-9.226127e-02
-1.040905e+00,-8.730032e-02
-1.034615e+00,-8.222042e-02
-1.028326e+00,-7.702162e-02
-1.022036e+00,-7.170402e-02
-1.015747e+00,-6.626778e-02
-1.009457e+00,-6.071307e-02
-1.003168e+00,-5.504016e-02
-9.968786e-01,-4.924930e-02
-9.905891e-01,-4.334085e-02
-9.842997e-01,-3.731517e-02
-9.780102e-01,-3.117269e-02
-9.717208e-01,-2.491388e-02
-9.654313e-01,-1.853925e-02
-9.591419e-01,-1.204937e-02
-9.528524e-01,-5.444851e-03
-9.465629e-01,1.273652e-03
-9.402735e-01,8.105433e-03
-9.339840e-01,1.504974e-02
-9.276946e-01,2.210577e-02
-9.214051e-01,2.927269e-02
-9.151157e-01,3.654959e-02
-9.088262e-01,4.393554e-02
-9.025368e-01,5.142955e-02
-8.962473e-01,5.903058e-02
-8.899578e-01,6.673756e-02
-8.836684e-01,7.454935e-02
-8.773789e-01,8.246478e-02
-8.710895e-01,9.048264e-02
-8.648000e-01,9.860165e-02
-8.585106e-01,1.068205e-01
-8.522211e-01,1.151378e-01
-8.459317e-01,1.235522e-01
-8.396422e-01,1.320623e-01
-8.333528e-01,1.406665e-01
-8.270633e-01,1.493632e-01
-8.207738e-01,1.581510e-01
-8.144844e-01,1.670282e-01
-8.081949e-01,1.759931e-01
-8.019055e-01,1.850441e-01
-7.956160e-01,1.941792e-01
-7.893266e-01,2.033969e-01
-7.830371e-01,2.126951e-01
-7.767477e-01,2.220722e-01
-7.704582e-01,2.315260e-01
-7.641688e-01,2.410547e-01
-7.578793e-01,2.506562e-01
-7.515898e-01,2.603286e-01
-7.453004e-01,2.700698e-01
-7.390109e-01,2.798775e-01
-7.327215e-01,2.897498e-01
-7.264320e-01,2.996844e-01
-7.201426e-01,3.096790e-01
-7.138531e-01,3.197315e-01
-7.075637e-01,3.298395e-01
-7.012742e-01,3.400007e-01
-6.949848e-01,3.502127e-01
-6.886953e-01,3.604732e-01
-6.824058e-01,3.707798e-01
-6.761164e-01,3.811299e-01
-6.698269e-01,3.915211e-01
-6.635375e-01,4.019510e-01
-6.572480e-01,4.124168e-01
-6.509586e-01,4.229162e-01
-6.446691e-01,4.334465e-01
-6.383797e-01,4.440050e-01
-6.320902e-01,4.545892e-01
-6.258007e-01,4.651964e-01
-6.195113e-01,4.758239e-01
-6.132218e-01,4.864689e-01
-6.069324e-01,4.971288e-01
-6.006429e-01,5.078008e-01
-5.943535e-01,5.184821e-01
-5.880640e-01,5.291700e-01
-5.817746e-01,5.398616e-01
-5.754851e-01,5.505542e-01
-5.691957e-01,5.612449e-01
-5.629062e-01,5.719308e-01
-5.566167e-01,5.826091e-01
-5.503273e-01,5.932769e-01
-5.440378e-01,6.039313e-01
-5.377484e-01,6.145695e-01
-5.314589e-01,6.251886e-01
-5.251695e-01,6.357856e-01
-5.188800e-01,6.463576e-01
-5.125906e-01,6.569018e-01
-5.063011e-01,6.674151e-01
-5.000117e-01,6.778947e-01
-4.937222e-01,6.883376e-01
-4.874327e-01,6.987410e-01
-4.811433e-01,7.091018e-01
-4.748538e-01,7.194172e-01
-4.685644e-01,7.296843e-01
-4.622749e-01,7.399000e-01
-4.559855e-01,7.500616e-01
-4.496960e-01,7.601660e-01
-4.434066e-01,7.702105e-01
-4.371171e-01,7.801920e-01
-4.308277e-01,7.901078e-01
-4.245382e-01,7.999549e-01
-4.182487e-01,8.097305e-01
-4.119593e-01,8.194317e-01
-4.056698e-01,8.290558e-01
-3.993804e-01,8.385998e-01
-3.930909e-01,8.480610e-01
-3.868015e-01,8.574366e-01
-3.805120e-01,8.667238e-01
-3.742226e-01,8.759198e-01
-3.679331e-01,8.850220e-01
-3.616436e-01,8.940277e-01
-3.553542e-01,9.029341e-01
-3.490647e-01,9.117386e-01
-3.427753e-01,9.204385e-01
-3.364858e-01,9.290313e-01
-3.301964e-01,9.375144e-01
-3.239069e-01,9.458851e-01
-3.176175e-01,9.541411e-01
-3.113280e-01,9.622797e-01
-3.050386e-01,9.702985e-01
-2.987491e-01,9.781951e-01
-2.924596e-01,9.859671e-01
-2.861702e-01,9.936120e-01
-2.798807e-01,1.001128e+00
-2.735913e-01,1.008512e+00
-2.673018e-01,1.015762e+00
-2.610124e-01,1.022876e+00
-2.547229e-01,1.029852e+00
-2.484335e-01,1.036687e+00
-2.421440e-01,1.043380e+00
-2.358546e-01,1.049928e+00
-2.295651e-01,1.056329e+00
-2.232756e-01,1.062582e+00
-2.169862e-01,1.068685e+00
-2.106967e-01,1.074635e+00
-2.044073e-01,1.080430e+00
-1.981178e-01,1.086070e+00
-1.918284e-01,1.091552e+00
-1.855389e-01,1.096874e+00
-1.792495e-01,1.102035e+00
-1.729600e-01,1.107033e+00
-1.666706e-01,1.111867e+00
-1.603811e-01,1.116534e+00
-1.540916e-01,1.121035e+00
-1.478022e-01,1.125367e+00
-1.415127e-01,1.129528e+00
-1.352233e-01,1.133518e+00
-1.289338e-01,1.137336e+00
-1.226444e-01,1.140980e+00
-1.163549e-01,1.144448e+00
-1.100655e-01,1.147741e+00
-1.037760e-01,1.150856e+00
-9.748655e-02,1.153793e+00
-9.119709e-02,1.156551e+00
-8.490764e-02,1.159130e+00
-7.861818e-02,1.161527e+00
-7.232873e-02,1.163743e+00
-6.603928e-02,1.165777e+00
-5.974982e-02,1.167628e+00
-5.346037e-02,1.169296e+00
-4.717091e-02,1.170779e+00
-4.088146e-02,1.172078e+00
-3.459200e-02,1.173193e+00
-2.830255e-02,1.174122e+00
-2.201309e-02,1.174865e+00
-1.572364e-02,1.175423e+00
-9.434182e-03,1.175795e+00
-3.144727e-03,1.175982e+00
3.144727e-03,1.175982e+00
9.434182e-03,1.175795e+00
1.572364e-02,1.175423e+00
2.201309e-02,1.174865e+00
2.830255e-02,1.174122e+00
3.459200e-02,1.173193e+00
4.088146e-02,1.172078e+00
4.717091e-02,1.170779e+00
5.346037e-02,1.169296e+00
5.974982e-02,1.167628e+00
6.603928e-02,1.165777e+00
7.232873e-02,1.163743e+00
7.861818e-02,1.161527e+00
8.490764e-02,1.159130e+00
9.119709e-02,1.156551e+00
9.748655e-02,1.153793e+00
1.037760e-01,1.150856e+00
1.100655e-01,1.147741e+00
1.163549e-01,1.144448e+00
1.226444e-01,1.140980e+00
1.289338e-01,1.137336e+00
1.352233e-01,1.133518e+00
1.415127e-01,1.129528e+00
1.478022e-01,1.125367e+00
1.540916e-01,1.121035e+00
1.603811e-01,1.116534e+00
1.666706e-01,1.111867e+00
1.729600e-01,1.107033e+00
1.792495e-01,1.102035e+00
1.855389e-01,1.096874e+00
1.918284e-01,1.091552e+00
1.981178e-01,1.086070e+00
2.044073e-01,1.080430e+00
2.106967e-01,1.074635e+00
2.169862e-01,1.068685e+00
2.232756e-01,1.062582e+00
2.295651e-01,1.056329e+00
2.358546e-01,1.049928e+00
2.421440e-01,1.043380e+00
2.484335e-01,1.036687e+00
2.547229e-01,1.029852e+00
2.610124e-01,1.022876e+00
2.673018e-01,1.015762e+00
2.735913e-01,1.008512e+00
2.798807e-01,1.001128e+00
2.861702e-01,9.936120e-01
2.924596e-01,9.859671e-01
2.987491e-01,9.781951e-01
3.050386e-01,9.702985e-01
3.113280e-01,9.622797e-01
3.176175e-01,9.541411e-01
3.239069e-01,9.458851e-01
3.301964e-01,9.375144e-01
3.364858e-01,9.290313e-01
3.427753e-01,9.204385e-01
3.490647e-01,9.117386e-01
3.553542e-01,9.029341e-01
3.616436e-01,8.940277e-01
3.679331e-01,8.850220e-01
3.742226e-01,8.759198e-01
3.805120e-01,8.667238e-01
3.868015e-01,8.574366e-01
3.930909e-01,8.480610e-01
3.993804e-01,8.385998e-01
4.056698e-01,8.290558e-01
4.119593e-01,8.194317e-01
4.182487e-01,8.097305e-01
4.245382e-01,7.999549e-01
4.308277e-01,7.901078e-01
4.371171e-01,7.801920e-01
4.434066e-01,7.702105e-01
4.496960e-01,7.601660e-01
4.559855e-01,7.500616e-01
4.622749e-01,7.399000e-01
4.685644e-01,7.296843e-01
4.748538e-01,7.194172e-01
